Time,Gx,Gy,Gz
16.68,1.48,-0.41,-2.92
16.75,5.59,-3.33,-4.82
16.81,0.51,-1.86,-2.2
16.88,3.55,-1.62,-0.5
16.95,3.22,-1.91,-0.09
17.01,5.08,-1.09,-1.5
17.08,3.27,-1.28,-3.61
17.15,5.87,2.87,-0.54
17.21,5.15,1.41,1.82
17.28,6.05,-1.4,3.14
17.35,3.13,-0.86,2.6
17.41,2.46,2.43,1.52
17.48,3.83,-0.65,2.54
17.55,3.32,-0.58,0.44
17.61,4.06,0.18,0.73
17.68,5.76,-0.38,1.86
17.75,3.89,2.05,2.44
17.81,3.27,0.29,1.73
17.88,3.55,0.12,2.25
17.95,5.1,0.46,0.47
18.01,1.73,-1.61,4.62
18.08,0.59,2.15,0.56
18.15,4.75,1.83,2.25
18.21,4.42,1.91,0.89
18.28,8.24,3.12,-0.74
18.35,7.24,12.38,0.01
18.41,10.05,9.89,-2.43
18.48,5.59,-5.82,-7.99
18.55,8.59,-10.71,-8.26
18.61,3.97,2.16,-4.41
18.68,-7.54,5.52,2.8
18.75,-23.63,3.8,7.11
18.81,-33.44,-1.38,9.29
18.88,-102.02,-8.21,29.41
18.95,-119.29,-12.97,22.86
19.01,-126.9,-18.07,17.94
19.08,-122.57,-15.19,12.63
19.15,-110.51,0.64,6.6
19.21,-99.82,-1.25,-3.46
19.28,-78.13,-14.6,1.92
19.35,-70.99,-11.48,3.79
19.41,-60.61,-4.88,4.39
19.48,-51.5,-3.36,-3.08
19.55,-24.71,-1.19,-4.98
19.61,-17.65,-0.15,4.51
19.7,-9.16,3.61,2.18
19.76,-4.44,-0.06,0.09
19.83,-0.24,3.4,7.87
19.9,1.01,0.35,9.58
19.96,49.17,4.16,0.03
20.03,164.4,-26.66,-24.02
20.1,220.17,-20.89,-51.33
20.16,218.32,34.13,-48.81
20.23,214.5,37.57,-38.22
20.3,227.97,43.68,-26.37
20.36,211.16,35.61,-4.31
20.43,147.86,20.55,12.85
20.5,138.56,23.97,4.45
20.56,119.01,1.57,18.93
20.63,99.55,-14.05,27.47
20.7,106.77,-7.6,49.29
20.76,98.34,-20.22,41.8
20.83,97.72,-14.93,18.85
20.9,89.65,-25.76,0.73
20.96,85.07,18.4,-5.81
21.03,107.81,7.75,2.62
21.1,108.22,-5.14,17.79
21.16,88.31,6.48,5.97
21.23,36.61,15.67,-6.9
21.3,7.43,4.94,-7.01
21.36,-23.24,6.11,-7.23
21.43,-27.15,3.52,-15.27
21.5,-31.55,-0.68,-21.34
21.56,-47.51,-0.32,-41.23
21.63,-102.76,11.72,-90.62
21.7,-140.8,-0.9,-106.41
21.76,-178.94,-4.37,-85.21
21.83,-174.17,21.67,-29.05
21.9,-160.87,18.17,-28.03
21.96,-136.34,-7.2,-0.08
22.03,-140.1,-23.25,4.65
22.1,-153.94,-47.07,42.46
22.16,-192.54,-64.26,46.74
22.23,-169.89,-38.0,7.31
22.3,-107.43,2.89,-29.35
22.36,-44.58,33.89,-37.26
22.43,81.39,79.44,64.08
22.5,99.7,50.58,55.48
22.56,74.42,7.19,18.48
22.63,158.49,105.05,25.03
22.7,86.75,8.24,-23.28
22.76,58.95,5.61,-41.97
22.83,20.22,-52.78,-19.53
22.9,46.92,-50.17,-23.89
22.96,32.51,-48.56,-47.8
23.03,34.08,-42.64,-13.15
23.1,16.49,-48.28,15.56
23.16,42.3,-60.15,-20.42
23.23,56.85,-1.26,62.75
23.3,58.5,10.6,62.36
23.36,27.79,-9.42,8.87
23.43,52.26,-20.66,26.28
23.5,25.86,-16.08,-14.5
23.56,17.98,-26.44,-24.27
23.63,2.78,9.01,-40.03
23.7,-8.76,22.84,-55.15
23.76,-3.78,33.47,-38.24
23.83,2.59,21.18,-17.07
23.9,6.98,-0.86,6.91
23.96,7.92,-6.11,9.65
24.03,3.69,7.04,0.28
24.1,-8.2,5.61,12.43
24.16,-6.85,-4.21,2.86
24.23,-13.44,-12.11,-1.44
24.3,-6.54,-12.66,2.28
24.36,12.98,7.85,16.14
24.43,3.11,-18.66,12.55
24.5,-3.15,-12.05,25.07
24.56,-10.96,-0.98,43.89
24.63,-4.57,-1.82,41.16
24.7,2.54,4.97,46.23
24.77,-2.19,2.38,49.02
24.83,0.2,-3.59,51.69
24.9,0.92,-11.2,34.67
24.96,1.29,-6.73,6.98
25.03,18.7,7.1,-17.91
25.1,24.83,-0.4,-29.35
25.16,11.06,-1.94,-31.43
25.23,0.56,-3.73,-43.28
25.3,-4.53,-1.7,-41.09
25.36,-13.6,4.78,-49.93
25.43,-7.98,5.52,-43.7
25.5,2.24,-2.8,-40.89
25.56,10.93,-5.17,-17.99
25.63,9.61,-0.82,-18.65
25.7,10.26,2.92,-1.49
25.76,9.1,5.2,5.74
25.83,6.9,9.06,10.06
25.9,6.14,6.49,9.54
25.96,6.12,3.05,9.08
26.03,6.03,6.18,5.2
26.1,5.39,7.52,2.59
26.16,3.63,7.87,3.11
26.23,4.42,7.94,-2.03
26.3,6.4,5.59,-0.66
26.36,13.14,-4.92,16.94
26.43,15.63,-3.09,15.93
26.5,8.83,4.49,7.09
26.56,7.81,5.51,3.8
26.63,8.11,14.01,0.35
26.7,-3.97,22.16,-6.93
26.76,-2.21,13.4,-3.22
26.83,-0.54,3.49,-9.07
26.9,-0.67,13.27,-13.31
26.96,3.2,21.11,-8.46
27.03,-2.76,24.8,-13.96
27.1,-3.72,12.64,-11.19
27.16,-13.35,10.69,-21.0
27.23,-8.18,-1.94,-18.24
27.3,1.22,-6.8,-26.69
27.36,16.38,38.64,-20.67
27.43,18.58,20.87,-27.88
27.5,7.74,-32.87,7.11
27.56,14.2,-19.04,-18.28
27.63,1.96,-32.87,-2.68
27.7,0.43,-29.36,1.02
27.76,-19.23,-18.51,28.28
27.83,-9.89,-2.59,13.83
27.9,-6.34,21.72,0.81
27.96,-1.79,20.79,10.86
28.05,13.17,22.11,0.09
28.11,-81.87,163.88,-54.67
28.18,-33.42,7.69,-11.33
28.25,0.62,-108.64,37.03
28.31,10.08,4.76,3.83
28.38,2.82,-11.84,4.28
28.45,20.45,14.72,1.66
28.51,22.91,13.68,3.27
28.58,7.73,13.62,1.23
28.65,-10.55,-8.11,-1.02
28.71,7.76,-2.44,26.34
28.78,43.36,-61.46,33.29
28.85,2.27,-24.83,-8.28
28.91,2.85,-46.94,14.05
28.98,16.14,-32.2,-19.04
29.05,11.68,-37.98,19.31
29.11,12.6,-24.51,32.45
29.18,4.43,-11.99,17.43
29.25,14.09,-27.35,20.97
29.31,21.1,9.79,-3.56
29.38,22.15,61.2,-19.51
29.45,25.31,30.1,-14.08
29.51,62.81,6.76,26.38
29.58,53.37,-7.69,21.53
29.65,-4.65,2.4,5.76
29.71,-21.35,-7.66,-52.33
29.78,11.39,84.7,-86.37
29.85,9.79,29.64,-5.6
29.91,12.34,8.96,35.98
29.98,4.15,-14.22,43.17
30.05,-7.03,24.06,44.79
30.11,-6.22,48.2,41.02
30.18,12.41,2.44,24.27
30.25,10.58,-3.23,8.91
30.31,-8.17,-11.51,40.73
30.38,1.82,-25.24,8.24
30.45,-10.42,-25.33,-4.97
30.51,0.68,-30.85,1.16
30.58,-2.25,-10.94,1.0
30.65,-3.91,-26.22,20.54
30.71,1.43,-4.01,14.92
30.78,4.91,-7.75,20.28
30.85,-3.54,-8.21,13.33
30.91,-2.03,-5.53,5.29
30.98,37.41,-7.82,-31.75
31.05,44.02,-8.77,-38.6
31.11,54.1,2.97,-9.53
31.18,51.92,-5.62,-17.47
31.25,52.24,-4.53,-3.47
31.31,63.34,6.05,-8.42
31.38,81.14,15.45,-19.92
31.45,94.37,20.97,-2.16
31.51,59.84,1.13,17.49
31.58,74.99,5.41,16.13
31.65,78.2,-3.87,8.32
31.71,86.07,7.74,-0.42
31.78,75.19,13.84,0.71
31.85,87.57,25.31,-7.06
31.91,85.73,13.42,3.59
31.98,81.04,19.4,-4.32
32.05,76.24,21.55,4.16
32.11,67.08,4.65,-0.22
32.18,50.0,5.74,0.64
32.25,43.89,-5.65,8.59
32.31,50.45,-6.58,13.61
32.38,61.42,-6.04,6.3
32.45,29.76,-9.83,6.09
32.51,34.81,-3.75,-3.68
32.58,32.96,-7.73,-2.56
32.65,44.45,-10.9,-2.42
32.71,29.65,-3.68,2.63
32.78,18.23,-2.1,1.89
32.85,13.84,-1.64,-2.85
32.91,6.06,-6.38,2.75
32.98,5.97,1.09,-0.47
33.05,0.36,0.58,2.73
33.11,2.48,1.7,-0.86
33.18,0.06,0.93,-1.41
33.25,7.67,3.8,-1.4
33.31,9.56,0.18,0.58
33.38,8.51,-0.35,2.03
33.45,2.42,0.52,1.91
33.51,0.92,0.58,0.76
33.58,4.13,0.21,0.57
33.65,2.96,1.95,-2.94
33.71,-6.78,3.27,-2.55
33.78,-2.69,3.83,0.46
33.85,-0.74,3.0,-0.79
33.91,3.63,7.0,-8.39
33.98,3.11,6.9,-7.88
34.05,4.46,5.47,1.52
34.11,14.88,-1.71,0.22
34.18,18.58,-0.91,6.85
34.25,13.37,-1.75,4.37
34.31,10.33,-1.19,4.06
34.38,6.66,-2.7,0.99
34.45,8.42,-2.83,3.05
34.51,11.66,2.61,0.85
34.58,10.9,-2.22,5.33
34.65,8.77,1.02,1.43
34.71,5.79,0.2,3.15
34.78,8.93,1.57,2.76
34.85,7.59,-0.89,1.25
34.91,2.12,3.55,8.07
34.98,-12.45,-3.19,11.77
35.05,-39.34,-6.08,15.95
35.11,-55.89,-9.0,30.18
35.18,-81.64,-3.04,15.59
35.25,-77.03,1.9,21.03
35.31,-80.74,10.42,6.09
35.38,-92.47,22.81,1.61
35.45,-106.98,29.06,-13.35
35.51,-92.06,28.08,1.69
35.58,-77.38,14.87,-9.12
35.65,-85.74,-2.61,-0.12
35.73,-91.07,-3.95,-6.21
35.8,-97.65,14.08,6.3
35.86,-99.0,8.01,5.5
35.93,-95.37,4.79,7.45
36.0,-83.88,0.42,-5.23
36.08,-70.57,2.72,-13.18
36.15,-11.66,0.87,-1.91
36.23,-17.39,0.12,-9.58
36.31,35.25,15.8,-9.67
36.4,57.64,26.84,-1.68
